accession,release_date,pmid,sample_title
GSE137665,2022/08/24,35986171,Cortex Sleep Deprived
GSE137665,2022/08/24,35986171,Hypothalamus Sleep Deprived
GSE137665,2022/08/24,35986171,Brainstem Sleep Deprived
GSE137665,2022/08/24,35986171,Cortex Recovery Sleep
GSE137665,2022/08/24,35986171,Hypothalamus Recovery Sleep
GSE137665,2022/08/24,35986171,Brainstem Recovery Sleep
GSE137665,2022/08/24,35986171,Hypothalamus Normal Sleep
GSE137665,2022/08/24,35986171,Cortex Normal Sleep
GSE137665,2022/08/24,35986171,Brainstem Normal Sleep
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 2 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 5 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 3 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 4 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 1 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 2 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 3 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 5 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 3 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 3 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 2 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 2 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype homecage control harvested at ZT hour 5, replicate 1 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 1 [snRNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 4 [RNA-Seq]"
GSE211088,2023/04/17,39280614,"Wildtype harvested following 5 hours of sleep deprivation, replicate 1 [RNA-Seq]"
GSE213496,2023/11/27,38016470,"scRNA,SD24h"
GSE213496,2023/11/27,38016470,"scRNA,SD48h"
GSE213496,2023/11/27,38016470,"scRNA,Con"
GSE218624,2026/04/23,42321470,RS2h
GSE218624,2026/04/23,42321470,SD6h
GSE243489,2024/04/01,38703367,"F42, recovery sleep, female, rep2"
GSE243489,2024/04/01,38703367,"M5, recovery sleep, male, rep4"
GSE243489,2024/04/01,38703367,"F38, normal sleep, female, rep2"
