accession,sample_title,assigned_condition,assignment_rule,libraries_per_condition,in_primary_inventory
GSE137665,Cortex Sleep Deprived,Sleep deprivation (A2),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Hypothalamus Sleep Deprived,Sleep deprivation (A2),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Brainstem Sleep Deprived,Sleep deprivation (A2),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Cortex Recovery Sleep,Recovery sleep (A3),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Hypothalamus Recovery Sleep,Recovery sleep (A3),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Brainstem Recovery Sleep,Recovery sleep (A3),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Hypothalamus Normal Sleep,Normal sleep (A1),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Cortex Normal Sleep,Normal sleep (A1),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE137665,Brainstem Normal Sleep,Normal sleep (A1),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 per brain region (3 regions),yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 2 [RNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 5 [RNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 3 [snRNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 4 [RNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 1 [RNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 2 [RNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 3 [RNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 5 [RNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 3 [snRNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 3 [RNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 2 [snRNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 2 [snRNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype homecage control harvested at ZT hour 5, replicate 1 [snRNA-Seq]",Home-cage control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 1 [snRNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 4 [RNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE211088,"Wildtype harvested following 5 hours of sleep deprivation, replicate 1 [RNA-Seq]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE213496,"scRNA,SD24h",Sleep deprivation (chronic),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 (chronic; excluded by acute criterion),no
GSE213496,"scRNA,SD48h",Sleep deprivation (chronic),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 (chronic; excluded by acute criterion),no
GSE213496,"scRNA,Con",Control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1 (chronic; excluded by acute criterion),no
GSE218624,RS2h,Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE218624,SD6h,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE243489,"F42, recovery sleep, female, rep2",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M5, recovery sleep, male, rep4",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F38, normal sleep, female, rep2",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M8, recovery sleep, male, rep1",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M17, normal sleep, male, rep4",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F37, normal sleep, female, rep3",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M7, recovery sleep, male, rep2",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F29, recovery sleep, female, rep5",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F39, normal sleep, female, rep1",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M33, normal sleep, male, rep2",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M18, normal sleep, male, rep3",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M1, normal sleep, male, rep5",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F40, recovery sleep, female, rep3",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M35, recovery sleep, male, rep5",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M34, normal sleep, male, rep1",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F10, normal sleep, female, rep4",Normal sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F32, recovery sleep, female, rep4",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"F43, recovery sleep, female, rep1",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE243489,"M6, recovery sleep, male, rep3",Recovery sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4-5 per sex (approx. 9-10 per condition),yes
GSE289089,SD 0D-2,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,2,yes
GSE289089,SD-2D-2,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,2,yes
GSE289089,SD 0D-1,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,2,yes
GSE289089,SD-2D-1,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,2,yes
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run5, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run2, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run1, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run7, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run4, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run6, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE221239,"DGRP_Mix_Sleep_Wakefulness_Run3, replicate 1, scRNA-seq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE256140,"SD, replicate 2, snRNA-seq",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"CS, replicate 3, snRNA-seq",Control sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"SD, replicate 1, snRNA-seq",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"CS, replicate 2, snRNA-seq",Control sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"SD, replicate 3, snRNA-seq",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"SD, replicate 4, snRNA-seq",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"CS, replicate 4, snRNA-seq",Control sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE256140,"CS, replicate 1, snRNA-seq",Control sleep,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,4,yes
GSE280145,"CT, scRNA",Control,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE280145,"SD, scRNA",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE214337,Sleep-deprivation,Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE214337,AAV-SIK3-Ex13del,Genetic variant (not an SD contrast),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE214337,Ad-lib-sleep,Ad-lib sleep (control),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE214337,AAV-SIK3-WT,Genetic variant (not an SD contrast),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,1,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, with sleep deprivation [MW12]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, without sleep deprivation [MW9]",Control (no SD),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, without sleep deprivation [MW1]",Control (no SD),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, without sleep deprivation [MW10]",Control (no SD),keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, with sleep deprivation [MW2]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE245537,"FosTRAP2;Ai14, the nucleus reuniens of the thalamus, snRNA-Seq, with sleep deprivation [MW11]",Sleep deprivation,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,3,yes
GSE312840,VEH,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
