accession,year,n_samples,title,auto_class,included,exclusion_reason
GSE79108,2017,84,Identification of preoptic sleep-promoting neurons based on projection target,unclear,no,Not single-cell / single-nucleus transcriptomics
GSE145273,2020,3647,Integrated single-cell analysis reveals coupled molecular gradient and functional subnetworks in the thalamic ,unclear,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE147722,2020,2,"CRISPR-Cas9-engineered PIGV341E mouse model mirrors human phenotype, shows hippocampal synaptic dysfunctions a",likely_unreplicated,no,Not single-cell / single-nucleus transcriptomics
GSE145435,2021,6,Short-term exposure to intermittent hypoxia leads to changes in gene expression seen in chronic pulmonary dise,unclear,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE160581,2021,4,Hyperexcitable arousal circuits cause sleep instability during aging,likely_unreplicated,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE179541,2021,4,Complement factor C1q mediates sleep spindle disruption and epileptic spikes after mild brain injury,likely_unreplicated,no,Not single-cell / single-nucleus transcriptomics
GSE137665,2022,9,Single-cell transcriptomics and analysis for new molecular regulators of sleep,unclear,yes,INCLUDED
GSE188646,2022,8,Single cell analysis of the aging hypothalamus,unclear,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE200642,2022,9,Integrative single cell and spatial transcriptomic analysis reveal reciprocal microglia-plasma cell crosstalk ,unclear,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE208355,2022,24,HypoMap – a unified single cell gene expression atlas of the murine hypothalamus,unclear,no,Sleep-related but no acute sleep-deprivation or recovery-sleep contrast
GSE214337,2022,4,Gene expression profile at single cell level of the cerebral cortex at different sleep need,likely_unreplicated,yes,INCLUDED
GSE202071,2023,2,The landscape of immune cells in the mouse HCC model with F1 and F3 subtype,likely_unreplicated,no,Not single-cell / single-nucleus transcriptomics
GSE211088,2023,16,RNA-Seq and snRNA-seq analysis of Sleep deprivation in Wildtype Mice,replicated,yes,INCLUDED
