accession,year,organism,n_samples,title,replication_class,pooled_keyword,replicate_keyword,published_pmid,summary_excerpt
GSE79108,2017,Mus musculus,84,Identification of preoptic sleep-promoting neurons based on projection target,unclear,0,0,28514446,"The preoptic area (POA) of the hypothalamus is known to be crucial for sleep generation, but the spatial intermingling of sleep- and wake-promoting neurons makes it difficult to dissect the sleep control circuit. Here we identified a population of POA sleep-promoting neurons based on their projection target. Using a lentivirus for retrograde labeling with channelrhodopsin-2 (ChR2) followed by opto"
GSE145273,2020,Mus musculus,3647,Integrated single-cell analysis reveals coupled molecular gradient and functional subnetworks in the thalamic reticular nucleus,unclear,0,0,32699411,"The thalamic reticular nucleus (TRN), the major source of thalamic inhibition, is known to regulate thalamocortical interactions critical for sensory processing, attention and cognition. TRN dysfunction has been linked to sensory abnormality, attention deficit and sleep disturbance across multiple neurodevelopmental disorders. Currently, little is known about the organizational principles underlyi"
GSE147722,2020,Mus musculus,2,"CRISPR-Cas9-engineered PIGV341E mouse model mirrors human phenotype, shows hippocampal synaptic dysfunctions and suggests a major role of impaired Eph/Abl1 signaling in GPI anchor deficiencies",likely_unreplicated,0,0,33402532,"Pathogenic germline mutations in PIGV result in a glycosylphosphatidylinositol biosynthesis deficiency (GPIBD). Individuals with pathogenic biallelic mutations in genes of the GPI pathway show cognitive impairments, a motor delay and often epilepsies. Thus far, the pathophysiology underlying the disease remains unclear and suitable rodent models are lacking that mimic human pathophysiology. We the"
GSE145435,2021,Mus musculus,6,Short-term exposure to intermittent hypoxia leads to changes in gene expression seen in chronic pulmonary disease [single-cell RNA],unclear,0,0,33599610,"Obstructive sleep apnea (OSA) results from episodes of airway collapse and intermittent hypoxia (IH) and is associated with a host of health complications. Although the lung is the first organ to sense changes in oxygen levels, little is known about the consequences of IH to the lung hypoxia-inducible factor- (HIF)-responsive pathways. We hypothesized that exposure to IH would lead to cell-specifi"
GSE160581,2021,Mus musculus,4,Hyperexcitable arousal circuits cause sleep instability during aging,likely_unreplicated,0,0,,10X single nucleus RNAseq of hyprcretin neurons from lateral hypothalamus in young and aged mice
GSE179541,2021,Mus musculus,4,Complement factor C1q mediates sleep spindle disruption and epileptic spikes after mild brain injury,likely_unreplicated,0,0,34516796,"While traumatic brain injury (TBI) acutely disrupts the cortex, most TBI-related disabilities reflect secondary injuries that accrue over time. The thalamus is a likely site of secondary damage because of its reciprocal connections with the cortex. Using a mouse model of mild cortical injury that does not directly damage subcortical structures (mTBI), we found a chronic increase in C1q expression "
GSE137665,2022,Mus musculus,9,Single-cell transcriptomics and analysis for new molecular regulators of sleep,unclear,0,0,35986171,"The molecular mechanisms governing sleep are largely unknown. Here, we used a combination of single-cell RNA sequencing to interrogate the molecular and functional underpinnings of sleep. Different cell types in three important brain regions for sleep (brainstem, cortex and hypothalamus) had a similar transcriptional response to sleep need, with a large proportion of cells changing during recovery"
GSE188646,2022,Mus musculus,8,Single cell analysis of the aging hypothalamus,unclear,0,0,36285248,"Alterations in metabolism, sleep patterns, body composition, and hormone status are all key features of aging. The hypothalamus is a well-conserved brain region that controls these homeostatic and survival-related behaviors. Despite the importance of this brain region in healthy aging, little is known about the intrinsic features of hypothalamic aging. Here, we utilize single nuclei RNA-sequencing"
GSE200642,2022,Mus musculus,9,Integrative single cell and spatial transcriptomic analysis reveal reciprocal microglia-plasma cell crosstalk in the mouse brain during chronic Trypanosoma brucei infection,unclear,0,0,36180478,"Human African trypanosomiasis, or sleeping sickness, is caused by the protozoan parasite Trypanosoma brucei and induces profound reactivity of glial cells and neuroinflammation when the parasites colonise the central nervous system. However, the transcriptional and functional responses of the brain to chronic T. brucei infection remain poorly understood. By integrating single cell and spatial tran"
GSE208355,2022,Mus musculus,24,HypoMap – a unified single cell gene expression atlas of the murine hypothalamus,unclear,0,0,36266547,"The hypothalamus plays a key role in coordinating a plethora of fundamental body functions, such as energy homeostasis, social behavior and sleep. Despite recent progress in single-cell technologies, we still lack a unified catalogue and molecular characterization of the heterogeneous cell types and, specifically, neuronal subtypes in this brain region. Here, we combined 17 publicly available hypo"
GSE214337,2022,Mus musculus,4,Gene expression profile at single cell level of the cerebral cortex at different sleep need,likely_unreplicated,0,0,36477539,Gene expression profile varies along with sleep/wake behavior. We used single nucleus RNA sequencing (snRNA-seq) to analyze differentially expressed genes depending on sleep need.
GSE202071,2023,Mus musculus,2,The landscape of immune cells in the mouse HCC model with F1 and F3 subtype,likely_unreplicated,0,0,37540187,"In this study, we identified and validated a molecular classification of hepatocellular carcinoma (HCC) patients based on 42 fatty acid degradation (FAD) genes. The F1 subtype was characterized by the lowest expression of FAD genes, whereas F3 subtype had the highest expression levels, and F2 had the intermediate expression levels of FAD genes. We characterized the immune microenvironment in HCC p"
GSE211088,2023,Mus musculus,16,RNA-Seq and snRNA-seq analysis of Sleep deprivation in Wildtype Mice,replicated,0,1,39280614,This dataset constitutes the first snRNA-Seq study of gene expression following sleep deprivation in wildtype mice with paralell bulk-RNA-seq data. In addition it contains RNA-seq analysis of the effect of recovery sleep following sleep deprivation
GSE213496,2023,Mus musculus,3,Prolonged sleep deprivation induces cytokine storm-like syndrome in mammals [scRNA-Seq],likely_unreplicated,0,0,38016470,"Sleep is deeply involved in neuroimmune regulation, while the mechanism is yet to be elucidated. Experimental manipulation of sleep duration provides a reliable measure for evaluating how sleep regulates innate immunity. Here we report a modified sleep deprivation paradigm (SD) that can constantly awaken the mice with more than 95% efficiency, and investigate the effects of prolonged sleep depriva"
GSE221239,2023,Drosophila melanogaster,7,Single-cell transcriptomics reveals glial cells integrate homeostatic and circadian processes to drive sleep-wake cycle,replicated,0,1,38263460,"The sleep-wake cycle is determined by a circadian and a sleep homeostatic process. However, the molecular impact of these two processes and their interaction on different cell populations in the brain remain unknown. To fill this gap, we have profiled the single-cell transcriptome of adult fruit fly brains across the sleep-wake cycle and different circadian times. We show cell type-specific transc"
GSE222784,2023,Mus musculus,2,Neutrophil metalloproteinase driven spleen architecture breakdown hampers plasma cell generation and infection control of trypanosomiasis.,likely_unreplicated,0,0,37669943,"Recent blood transcriptomic analysis of rhodesiense sleeping sickness patients has revealed that neutrophil signature genes and activation markers constitute the top indicators of trypanosomiasis-associated inflammation. Here, we used single cell RNA sequencing (scRNA-seq) to analyze the diversity of neutrophils in the spleen. We show that Trypanosoma brucei infection results in expansion and diff"
GSE226098,2023,Mus musculus,4,Molecular Consequences of Peripheral Influenza A Infection on Cell Populations in the Murine Hypothalamus,likely_unreplicated,0,0,37698546,"Infection with Influenza A virus (IAV) causes the well-known symptoms of the flu, including fever, loss of appetite and excessive sleepiness. These responses, mediated by the brain, will normally disappear once the virus is cleared from the system, but a severe respiratory virus infection may cause long-lasting neurological disturbances. These include encephalitis lethargica and narcolepsy. The me"
GSE229436,2023,Mus musculus,4,The murine meninges acquire lymphoid tissue properties and harbour autoreactive B cells during chronic Trypanosoma brucei infection,likely_unreplicated,0,0,37983289,"The meningeal space is an important structure in the brain borders, which provides immunosurveillance for the central nervous system, but the impact of infections on the meningeal immune landscape is far from being fully understood. Trypanosoma brucei, the causative agents of Human African Trypanosomiasis or sleeping sickness, accumulates in the meningeal spaces, inducing severe meningitis and res"
