ref,as_cited_in_manuscript,verified_record,source,discrepancy,verdict
[1],Hurlbert SH. Pseudoreplication and the design of ecological field experiments. Ecol Monogr 1984;54:187-211.,Hurlbert SH. Pseudoreplication and the design of ecological field experiments. Ecol Monogr 1984;54:187-211.,not_in_pubmed,none,OK
[2],"Squair JW, Gautier M, Kathe C, et al. Confronting false discoveries in single-cell differential expression. Nat Commun 2021;12:5692. PMID 34584091.",Squair JW. Nat Commun 2021;12(1):5692. PMID 34584091.,pubmed,none,OK
[3],"Zimmerman KD, Espeland MA, Langefeld CD. A practical solution to pseudoreplication bias in single-cell studies. Nat Commun 2021;12:738. PMID 33531494.",Zimmerman KD. Nat Commun 2021;12(1):738. PMID 33531494.,pubmed,none,OK
[4],"Kapoor S, Narayanan A. Leakage and the reproducibility crisis in machine-learning-based science. Patterns 2023;4:100804. PMID 37720327.",Kapoor S. Patterns (N Y) 2023;4(9):100804. PMID 37720327.,pubmed,none,OK
[5],"Jha PK, Valekunja UK, Ray S, et al. Single-cell transcriptomics and cell-specific proteomics reveals molecular signatures of sleep. Commun Biol 2022;5:846. PMID 35986171.",Jha PK. Commun Biol 2022;5(1):846. PMID 35986171.,pubmed,none,OK
[6],"Guo X, Keenan BT, Reiner BC, et al. Single-nucleus RNA-seq identifies one galanin neuronal subtype in mouse preoptic hypothalamus activated during recovery sleep after sleep deprivation. Cell Rep 2024;43:114192. PMID 38703367.",Guo X. Cell Rep 2024;43(5):114192. PMID 38703367.,pubmed,none,OK
[7],"Kim SJ, Hotta-Hirashima N, Asano F, et al. Kinase signalling in excitatory neurons regulates sleep quantity and depth. Nature 2022;612:512-518. PMID 36477539.",Kim SJ. Nature 2022;612(7940):512-518. PMID 36477539.,pubmed,none,OK
[8],"Sang D, Lin K, Yang Y, et al. Prolonged sleep deprivation induces a cytokine-storm-like syndrome in mammals. Cell 2023;186:5500-5516.e21. PMID 38016470.",Sang D. Cell 2023;186(25):5500-5516.e21. PMID 38016470.,pubmed,none,OK
[9],"Cao H, Wang K, Zhao J, et al. Tryptamine from wake-active monoaminergic neurons regulates sleep homeostasis. Nat Neurosci 2026;29:1942-1953. PMID 42321470.",Cao H. Nat Neurosci 2026;29(8):1942-1953. PMID 42321470.,pubmed,none,OK
[10],"Ford K, Zuin E, Righelli D, et al. A global transcriptional atlas of the effect of acute sleep deprivation in the mouse frontal cortex. iScience 2024;27:110752. PMID 39280614.",Ford K. iScience 2024;27(9):110752. PMID 39280614.,pubmed,none,OK
[11],"Vogt KE, Kulkarni A, Pandey R, et al. Sleep need driven oscillation of glutamate synaptic phenotype. eLife 2025;13:e98280. PMID 39950545.",Vogt KE. Elife 2025;13():. PMID 39950545.,pubmed,none,OK
[12],"Lee SS, Liu Q, Cheng AHR, et al. Sleep need-dependent plasticity of a thalamic circuit promotes homeostatic recovery sleep. Science 2025;388:eadm8203. PMID 40536979.",Lee SS. Science 2025;388(6753):eadm8203. PMID 40536979.,pubmed,none,OK
[22],"Campbell JN, Macosko EZ, Fenselau H, et al. A molecular census of arcuate hypothalamus and median eminence cell types. Nat Neurosci 2017;20:484-496. PMID 28166221.",Campbell JN. Nat Neurosci 2017;20(3):484-496. PMID 28166221.,pubmed,none,OK
