accession,table1_tissue,table1_contrast,table1_year,table1_venue,geo_verified_series_title,geo_verified_sample_titles,geo_n_samples,geo_pmid,verdict,severity
GSE137665,"Hypothalamus, brainstem, cortex / scRNA","NS, 12-h SD, 24-h RS",2022,Commun Biol,"Single-cell transcriptomics of sleep (Jha et al.)","JHA710A1/A2/A3 x 3 regions",9,35986171,"CONSISTENT - the worked example is correctly described",OK
GSE214337,Whole brain / scRNA,SD 6 h,2022,Nature,"Gene expression profile at single cell level of the cerebral cortex at different sleep need","Sleep-deprivation; Ad-lib-sleep; AAV-SIK3-WT; AAV-SIK3-Ex13del",4,36477539,"TISSUE WRONG (cerebral cortex, not whole brain); MODALITY: series title says single cell but the curated file says snRNA - resolve; CONTRAST incomplete (the series also contains two AAV-SIK3 genotype arms, and no explicit 6-h duration appears in the sample titles)",MAJOR
GSE218624,Brainstem / scRNA,"SD 4 h, RS 1 h",2026,Nat Neurosci,"Single cell RNA-sequencing of the preoptic area of hypothalamus from sleep deprivation and rebound sleep","RS2h; SD6h",2,42321470,"TISSUE WRONG (preoptic area of hypothalamus, not brainstem); DURATIONS WRONG (SD 6 h and RS 2 h, not 4 h / 1 h); ALSO: the series contains only two libraries and NO normal-sleep control arm, which is a stronger design limitation than the table conveys",CRITICAL
GSE280145,Cortex / scRNA,SD 3 h,2024,Science,"LK immunophenotype cells after sleep deprivation","CT, scRNA; SD, scRNA",2,(none - unpublished),"TISSUE WRONG (Lin-Kit+ haematopoietic progenitor cells, i.e. bone marrow, not cortex); VENUE FABRICATED (no PMID is linked to this series; the curated file and Section 3.6 both call it unpublished, yet Table 1 states Science); ORTHOGONAL VALIDATION CLAIM ('Yes, bulk RNA-seq') is unsupported; DURATION (3 h) not stated in the record",CRITICAL
GSE289089,Cortex / scRNA,SD 4 h,-,Unpublished,"Small intestinal crypt cell subsets and gene expression in sleep-deprived mice","SD 0D-1/-2; SD-2D-1/-2",4,(none - unpublished),"TISSUE WRONG (small intestinal crypt, not cortex); CONTRAST WRONG (baseline day 0 vs day 2 of deprivation, not a 4-h acute SD); the 2-day arm sits on the acute/chronic boundary the manuscript itself polices; deposit year 2025",CRITICAL
GSE245537,Thalamus / snRNA,"SD 6 h, RS",2025,Science,"Persistence of homeostatic sleep drive is encoded by plasticity of a thalamic reuniens circuit","FosTRAP2;Ai14, nucleus reuniens of the thalamus, snRNA-Seq x6",6,40536979,"TISSUE ACCEPTABLE (nucleus reuniens is thalamic) but should be stated at the resolution of the record; YEAR AMBIGUOUS (GEO deposit 2023, publication 2025) - state which convention the table uses and apply it throughout; CONTRAST should match the sample titles rather than an assumed 6-h protocol",MAJOR
GSE256140,Forebrain / snRNA,"SD 3 h, RS 30 min",2025,eLife,"Sleep need driven oscillation of glutamatergic synaptic phenotype","CS replicate 2/3/...; SD replicate 1/2/3/4, snRNA-seq",8,39950545,"TISSUE VAGUE (curated file says frontal cortex; 'forebrain' is not the record's term); CONTRAST WRONG (the sample titles show only sleep-deprived vs control-sleep arms; no 30-min recovery arm is deposited); library count 4/condition is CORRECT",MAJOR
GSE243489,Preoptic hypothalamus / snRNA,"NS, 6-h SD, RS",2024,Cell Rep,"snRNA-seq of mouse preoptic hypothalamus in recovery sleep after sleep deprivation","normal sleep / recovery sleep, 4-5 per sex",19,38703367,"TISSUE AND VENUE CORRECT; CONTRAST OVERSTATED - the curated file records normal sleep vs recovery sleep only, while Table 1 lists a three-arm NS/SD/RS design; reconcile, because Section 3.5 leans on the recovery-versus-normal comparison specifically",MAJOR
GSE211088,Frontal cortex / scRNA,SD 5 h,2023,iScience,"RNA-Seq and snRNA-seq analysis of Sleep deprivation in Wildtype Mice","5-h SD replicates; homecage ZT5 replicates (mixed bulk + snRNA)",16,39280614,"TISSUE CORRECT; MODALITY WRONG (snRNA-seq plus bulk RNA-seq, not scRNA); the 16 deposited samples mix bulk and single-nucleus libraries, so the '3 libraries per condition' figure must be stated for the single-nucleus subset specifically",MAJOR
GSE213496,"(excluded from Table 1; footnote only)",5-day chronic SD,2023,Cell,"Prolonged sleep deprivation induces a cytokine-storm-like syndrome in mammals","multi-organ",-,38016470,"EXCLUSION NOW CORRECT (fails the acute criterion). Footnote says 'Cell 2023' which matches the record",OK
